symbol,entry_date,exit_date,entry,exit,qty,pnl,ret_pct,r_mult,hold,reason
RANASUG,2022-02-14,2022-02-15,29.072499999999998,28.15,5567,-5527.335124999983,-3.4151689741164235,-0.2794862772695278,1,ema_close
AXISBANK,2022-01-27,2022-02-24,745.86,752.4,220,1024.9800000000105,0.6246480572761708,0.05111915734035602,20,ema_close
CHALET,2022-02-22,2022-02-24,276.8905,243.05,572,-19704.327499999956,-12.44106424741908,-1.0179555562122298,2,stop
LINDEINDIA,2022-02-22,2022-02-25,2904.2425,2744.0,54,-9023.535000000003,-5.753737850747658,-0.47086711798975767,3,ema_close
HINDZINC,2022-03-03,2022-03-07,352.629375,322.1,450,-14100.581249999988,-8.885993970298129,-0.7272007310386842,2,ema_close
POWERINDIA,2022-03-04,2022-03-07,3838.5724999999998,3369.52,41,-19576.528299999976,-12.438902743142128,-1.0179591836734685,1,stop
RHIM,2022-02-14,2022-03-08,463.155,494.0,349,10333.890000000014,6.393108138744058,0.5231910946196671,15,ema_close
FINEORG,2022-02-28,2022-03-08,4283.632374999999,3893.4,36,-14398.771499999973,-9.337072838796054,-0.7641067939904558,5,ema_close
EVEREADY,2022-02-18,2022-03-11,338.84499999999997,331.0,469,-4067.4024999999965,-2.559429827797368,-0.20945537978505008,14,ema_close
OIL,2022-03-03,2022-03-15,163.4075,150.65,971,-12753.23537499999,-8.037651270596509,-0.6577751345937143,8,ema_close
COALINDIA,2022-03-04,2022-03-16,183.66451625,171.49,858,-10813.580992499978,-6.862099172626642,-0.5615287542675363,8,ema_close
ONGC,2022-03-10,2022-03-16,163.7537635,161.2,934,-2761.6171090000134,-1.8056156004011563,-0.14773650642968858,4,ema_close
LEMONTREE,2022-03-10,2022-03-22,57.24275,53.1,2392,-10226.996,-7.469068135266038,-0.610545856984756,7,ema_close
BALRAMCHIN,2022-03-15,2022-04-18,488.568375,477.85,306,-3645.377999999997,-2.438348573011913,-0.19951974911392234,21,ema_close
SHANKARA,2022-02-14,2022-04-26,649.62,775.6,249,30886.209000000003,19.094393645515844,1.5626228269085414,47,ema_close
GPIL,2022-03-04,2022-04-27,70.41650225,83.79,1111,14625.229275250007,18.694513827545315,1.5295438689974223,35,ema_close
INGERRAND,2022-03-16,2022-05-04,1533.6245,1630.45,99,9182.188125000044,6.047723872434254,0.49491541024895624,31,ema_close
JUSTDIAL,2022-04-18,2022-05-04,886.1598749999999,835.0,164,-8732.569499999983,-6.008777479345914,-0.49171148272172194,11,ema_close
ANGELONE,2022-03-22,2022-05-05,162.31838399999998,174.01,781,8791.397571000023,6.934883605051188,0.5674147148275805,29,ema_close
SARDAEN,2022-03-07,2022-05-06,90.225,117.6,1678,45441.918000000005,30.014962593516216,2.4563265306122473,40,ema_close
GAEL,2022-03-10,2022-05-09,109.1572125,153.98,1401,62257.41033749998,40.709941635785164,3.3293721441836635,38,ema_close
ELGIEQUIP,2022-04-26,2022-05-09,338.34375,314.8,560,-13625.220000000001,-7.191133277916322,-0.5884988662131521,8,ema_close
RAMKY,2022-04-27,2022-05-09,209.42225,194.45,461,-7126.310874999981,-7.381438696222566,-0.6040256327599165,7,ema_close
CRISIL,2022-05-04,2022-05-09,3597.6717499999995,3210.35,27,-10674.385874999978,-10.988985445934562,-0.8992904127241197,3,ema_close
CREDITACC,2022-03-16,2022-05-10,776.9375,947.15,187,31386.944874999986,21.603362561338578,1.7679486504279125,35,ema_close
TARC,2022-05-06,2022-05-10,45.012249999999995,39.51,4286,-24005.993149999966,-12.443334869952054,-1.0179517470125852,2,stop
TATACHEM,2022-05-04,2022-05-11,1035.5825,969.2,191,-13141.850499999971,-6.644135064082277,-0.5437343185095903,5,ema_close
PAISALO,2022-05-05,2022-05-11,42.355624999999996,37.18,3264,-17196.628799999977,-12.43890274314213,-1.0179591836734687,4,stop
VADILALIND,2022-02-15,2022-05-25,1067.9632499999998,1711.0,144,91981.33200000002,59.81097664175245,4.894585000756696,66,ema_close
CHENNPETRO,2022-03-11,2022-05-30,123.77155725,269.78,1220,177307.471155,117.42115553773561,9.604695032297485,52,ema_close
VENKEYS,2022-08-03,2022-08-05,2401.338375,2107.9,75,-22403.10937499997,-12.439235057824769,-1.017958625895471,2,stop
