"Sr.","Stock Name","Symbol","close","%_change","volume","Add Column"
109,"Gandhar Oil Refinery (India) Ltd","GANDHAR","273.6","0.85%","6,27,036",""
110,"Aeroflex Enterprises Ltd","AEROENTER","136.12","0.82%","8,25,653",""
111,"Manaksia Limited","MANAKSIA","71.07","0.79%","1,85,448",""
112,"Sheetal Cool Products Ltd","SCPL","648.5","0.78%","3,292",""
113,"Aye Finance Ltd","AYE","179.45","0.76%","5,13,730",""
114,"Bal Pharma Limited","BALPHARMA","107.01","0.75%","2,76,011",""
115,"Sansera Engineering Ltd","SANSERA","4,138.3","0.74%","1,08,023",""
116,"Eimco Elecon (india) Limited","EIMCOELECO","2,308.4","0.74%","19,864",""
117,"Confidence Petroleum India Ltd","CONFIPET","88.49","0.74%","37,89,279",""
118,"Sigachi Industries Ltd","SIGACHI","37.83","0.72%","39,05,269",""
119,"Mangal Credit & Fincorp Ltd","MANCREDIT","220.07","0.68%","14,650",""
120,"Max Estates Ltd","MAXESTATES","563.45","0.66%","96,750",""
121,"Commercial Syn Bags Ltd","COMSYN","300.95","0.65%","53,589",""
122,"Advit Jewels Ltd","RAMBHAJO","269.26","0.65%","2,82,481",""
123,"Izmo Limited","IZMO","905.65","0.61%","92,420",""
124,"Aether Industries Ltd","AETHER","1,650.1","0.6%","2,15,041",""
125,"E2E Networks Ltd","E2E","609.45","0.59%","5,56,680",""
126,"ASK Automotive Ltd","ASKAUTOLTD","626","0.58%","1,12,161",""
127,"Talbros Automotive Components Limited","TALBROAUTO","422.65","0.58%","1,42,404",""
128,"Sonam Ltd","SONAMLTD","73.95","0.56%","20,522",""
129,"SBC Exports Ltd","SBC","48.31","0.54%","69,12,903",""
130,"Sical Logistics Ltd","SICALLOG","98.99","0.53%","19,231",""
131,"Vindhya Telelinks Limited","VINDHYATEL","2,833","0.52%","56,124",""
132,"MSTC Ltd","MSTCLTD","741.3","0.51%","2,76,710",""
133,"Indo Borax & Chemicals Ltd","INDOBORAX","485.9","0.51%","1,05,370",""
134,"Saregama India Limited","SAREGAMA","507.7","0.5%","4,63,262",""
135,"ELLEN","ELLEN","375.35","0.5%","13,29,684",""
136,"Minda Corporation Limited","MINDACORP","706.55","0.49%","82,829",""
137,"TBO Tek Ltd","TBOTEK","1,679.7","0.48%","1,10,861",""
138,"Asian Energy Services Ltd","ASIANENE","536.05","0.39%","4,55,128",""
139,"Redington (india) Limited","REDINGTON","393.4","0.36%","61,93,112",""
140,"Stylam Industries Ltd","STYLAMIND","3,322","0.34%","15,394",""
141,"Timex Group India Ltd","TIMEX","629.05","0.31%","1,43,296",""
142,"Windlas Biotech Ltd","WINDLAS","1,132.75","0.3%","45,544",""
143,"Nelco Limited","NELCO","940.35","0.3%","1,17,817",""
144,"Precision Wires India Limited","PRECWIRE","466.05","0.3%","4,62,788",""
145,"Shoppers Stop Limited","SHOPERSTOP","378.7","0.3%","30,568",""
146,"Neogen Chemicals Ltd","NEOGEN","2,395.5","0.28%","2,95,004",""
147,"Share India Securities Ltd","SHAREINDIA","196.87","0.28%","1,29,61,281",""
148,"Morepen Laboratories Limited","MOREPENLAB","115.6","0.28%","1,37,21,969",""
149,"Diffusion Engineers Ltd","DIFFNKG","450.7","0.26%","1,05,544",""
150,"Garware Hi Tech Films Ltd","GRWRHITECH","6,921","0.23%","26,081",""
151,"Fedders Holding Ltd","FEDDERSHOL","48.51","0.19%","10,76,333",""
152,"Lancor Holdings Ltd","LANCORHOL","38","0.18%","1,20,700",""
153,"Cemindia Projects Ltd","CEMPRO","1,254","0.17%","2,25,701",""
154,"Oriental Hotels Limited","ORIENTHOT","140.05","0.17%","2,99,461",""
155,"Aditya Infotech Ltd","CPPLUS","3,834.5","0.14%","1,39,439",""
156,"Ambalal Sarabhai Enterprises Ltd","AMBALALSA","41.6","0.14%","36,429",""
157,"Signet Industries Ltd","SIGIND","71.2","0.11%","23,038",""
158,"Baazar Style Retail Ltd","STYLEBAAZA","389.3","0.09%","3,34,008",""
159,"GNG Electronics Ltd","EBGNG","678.2","0.04%","4,32,469",""
160,"Seshaasai Technologies Ltd","STYL","386.05","0.04%","1,01,846",""
161,"Kopran Limited","KOPRAN","235.88","0.03%","2,99,408",""
162,"Solar Industries India Limited","SOLARINDS","22,370","0%","1,33,093",""
163,"Madhya Bharat Agro Products Ltd","MBAPL","161.18","-0.01%","5,10,561",""
164,"SMC Global Securities Ltd","SMCGLOBAL","85.6","-0.05%","28,74,343",""
165,"Paisalo Digital Ltd","PAISALO","83","-0.06%","1,30,10,634",""
166,"Ather Energy Ltd","ATHERENERG","1,656.8","-0.09%","44,62,743",""
167,"Uniparts India Ltd","UNIPARTS","892.95","-0.1%","1,25,146",""
168,"Gna Axles Limited","GNA","553.4","-0.1%","2,56,201",""
169,"Sedemac Mechatronics Ltd","SEDEMAC","2,912.3","-0.12%","95,495",""
170,"Avt Natural Products Limited","AVTNPL","90.49","-0.12%","1,46,502",""
171,"Steel Strips Wheels Limited","SSWL","373.1","-0.13%","10,77,239",""
172,"Gufic Biosciences Limited","GUFICBIO","422.05","-0.14%","65,349",""
173,"Renaissance Global Ltd","RGL","156.23","-0.16%","12,27,647",""
174,"United Polyfab Gujarat Ltd","UNITEDPOLY","43","-0.16%","1,34,180",""
175,"Sai Life Sciences Ltd","SAILIFE","1,587.8","-0.21%","10,75,448",""
176,"Sky Gold Ltd","SKYGOLD","828.55","-0.21%","3,83,100",""
177,"Senores Pharmaceuticals Ltd","SENORES","1,459.9","-0.22%","1,00,185",""
178,"Kapston Services Ltd","KAPSTON","583.6","-0.23%","57,803",""
